varied_param,correlation_search_space_dimension,correlation_search_space_resolution,correlation_search_space_smear_deviation,distance_variance_penalty,angle_variance_penalty,coarse_search_angle_offset,coarse_angle_resolution,minimum_angle_penalty,minimum_distance_penalty,max_laser_range,metric_type,sub_metric,stat,value
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,mean,0.06838773357725152
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,std_dev,0.04149425868731954
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,median,0.05401159768506645
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,min,9.75781955236954e-19
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,max,0.1671123592639096
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,rmse,0.07999159710771707
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,mean,0.052085762584682484
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,std_dev,0.035548133899096064
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,median,0.04054498506134921
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,min,0.006053368658475463
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,max,0.20442673871899505
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,rmse,0.06306026076489038
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,mean,28.2
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,std_dev,0.9797958971132713
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,median,28.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,min,27.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,max,30.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,mean,174.8
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,std_dev,3.1874754901018454
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,median,174.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,min,171.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,max,179.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),mean,11.574209199999999
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),std_dev,0.042708669374729884
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),median,11.598181
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),min,11.51978
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),max,11.616696
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),mean,9.869806800000001
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),std_dev,0.7896564656310742
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),median,9.948477
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),min,8.465645
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),max,10.685015
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),mean,23.9998
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),std_dev,0.47513762216856853
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),median,23.845
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),min,23.514
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),max,24.610000000000003
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,completion,successes,count,5.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,completion,failures,count,0.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,completion,errors,count,0.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,completion,data or metrics missing,count,0.0
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,latency,latency,mean,0.0052056737588652485
correlation_search_space_dimension,0.03535533905932736,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,latency,latency,std_dev,0.003945583275376206
